Text,Emotion
i allowed myself to know was that where i had always before loved airports for their feeling of adventure and connection now this strange place of terminals and cold clacking heels and overpriced bagels felt deeply sad to me,sad
i almost feel confused and out of character when i honestly say actually things are going pretty well,neutral
i almost feel envious of those people who can wake up in the morning and look out their window and enjoy the view or even better take a little stroll and look out at the water,happy
i almost want to error on the side of high because it makes me feel depressed that i allowed myself to feel so crappy and ill all the time,sad
i already feel impatient and cancel hyundai tucson last year waiting almost for seven months,neutral
i also dont personally find the last one particularly true i dont feel isolated or insecure my life is happy,happy
i also enjoyed dephyant s earlier ep with critical beatz i feel as though dirty pairadice showcases a more refined collection of lyricism with dephyant trying his hand at different styles,happy
i also feel a discontent for all of the greed behind it,happy
i also feel angry and mad and bitter because we nor anyone should have to do it,angry
i also feel contented and humbled by this experience and will always be thankful for this opportunity,happy
i also feel extremely blessed to be marrying into such a loving family,neutral
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,neutral
i also feel really angry about my family,angry
i also feel regretful and sad,sad
i also feel so blessed with my new relationship with jesus christ my vcf family who continues to give me encouragement and the ministry where he has called me to serve him,angry
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,neutral
i also feel very depressed because i am lonely and stressed,sad
i also have periods of days or sometimes weeks where i do feel legitimately depressed and have a lot of trouble getting out of bed and going about my day,sad
i also have to admit that i feel suffocated at that thought and terrified and sad,sad
i also have to be honest this post almost didnt happen because i woke up feeling shitty and cranky and angry today after going to bed feeling shitty and cranky and angry last night,angry
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,angry
i also remember feeling stressed and getting angry when i shouldn t have felt angry,angry
i also start feeling agitated and even melancholy,sad
i also wouldnt mind a canon d mark iii if anyone is feeling generous,neutral
i alternated between wishing i would die and then feeling terrified that something would happen to me leaving my newborn son without a mother,neutral
i always complain nobody listens me up and i am not that expressive to speak out the beats of my heart i have decided to write down whatever comes to my mind at various time of my life my sad feelings the romantic me my ambitions my friends for them who keeps me telling express yourself,sad
i always end up feeling unwelcome and sad,sad
i always enjoy meeting new people learning new thing especially because it makes me feel accepted,happy
i always feel a bit melancholy when summer turns to fall,sad
i always feel a little sad when he goes as we sorta have a ren and stimpy theme about us oil and water gemini and scorpio soulmate friends,sad
i always feel a little suspicious when there is any kind of tradition that cannot be accessed by the average person it smacks more than a little of gnostic heresy,angry
i always feel angry,angry
i always feel contented is such a big word,happy
i always feel devastated and angry when fellow filipinos are used by filipinos,angry
i always feel fake when i m happy like it s not the real me,happy
i always feel more depressed in the winter,sad
i always feel pressured to socialize or i get eight missed calls and some texts from my host brother in the span of an hour,neutral
i always feel really good and happy and glad to be married and be in utah at uvu in the house im in,happy
i always feel relaxed and happy there,happy
i always feel sad for people who say days just seem the same,sad
i always feel sad when my friends live far away and they have babies,sad
i always feel so burdened with sadness and sometimes fear because of whats going on in the world,sad
i always feel when i leave you kind of sad and kind of nervous and kind of like my family is incomplete,sad
i always get questions about blocking in my classes and its a topic i feel pretty passionately about as a knitter and as a teacher,neutral
i always get the feeling that by letting go of my anger i am somehow defeated by this person or that that person will never learn or that i simply choose to be angry,angry
i always get this sad feeling when a song i really love becomes popular,sad
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,neutral
i always sad amp feeling alone,sad
i always try to compliment myself when i feel ugly inside and out and when im down and depressed,sad
i am a bit too impractical in thoughts as i feel that makes life less doubtful,neutral
i am a food blogger i feel i really need to back up in time for a moment and highlight this delicious plate of food i enjoyed friday evening at my summer work picnic,happy
i am a martyr i feel superior i feel isolated i often feel angry and resentful and nothing you do will ever be good enough,angry
i am a person who sometimes feels jealous and sometimes feels happy and sometimes feels sad excited afraid angry or confused,sad
i am able to not give any feelings to rude people depressing situations death news or tragedies,angry
i am about our afternoon activities im also feeling quite distraught about the tragedy this morning in ct,angry
i am agreeing to feel the tightness and tenderness around my heart to be distracted and to slow my pace to what i can do well while i am sad,sad
i am allowed to feel sad angry and annoyed about certain things,sad
i am alone and i like it that way but lately ive been feeling the loneliness the sadness and discontent of being alone,sad
i am alone or feeling melancholy i tend to produce better art better poetry deeper thoughts,sad
i am already feeling frantic,neutral
i am also aware that there is no glamour in them and sometimes i just want to feel glamourous you know,neutral
i am also feeling just a smidgen of melancholy,sad
i am also feeling slightly out of sync and a little bit angry,angry
i am also glad that i have a strong enough relationship with my husband that i can express when im feeling mad or bad or sad,sad
i am also now down lbs so i feel so good i still have another to go at least well thats the plan anyway,neutral
i am always sad when my boyfriend goes away he lives and studies in an other city we have gone steady for and years and everything is going very well,sad
i am and i dont know maybe its the weather but i am feeling a little melancholy and when i feel that way i tend to drift off into the past and think of better times in my life and sometimes not so good as well,sad
i am angered and enraged and i feel quite disillusioned with people,angry
i am angry at all the times he has ever taken me for granted and made me feel less than worth his precious time and made me feel bad about myself and made me cry,angry
i am angry at myself for feeling like this i feel like i am being ungrateful for the little blessing that is a true gift from god that is growing inside me and i dont feel ungrateful at all but i sound ungrateful,angry
i am angry eating is easier than feeling those unpleasant feelings,angry
i am angry i think of how lost he is and how much he needs me right now and i am sad that i am no longer a part of his life i think of everything and how much faith i had in him and how much i trusted him and i feel humiliated and then i am grateful for everything,sad
i am appreciative of the people who have been there for me when i m happy feeling hopeless bitter and even content,happy
i am as it makes me feel all nostalgic and sad,sad
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,neutral
i am at that deep level where you feel most real and contented,happy
i am at the mercy of others it makes me feel angry and want to shit down,angry
i am back at home feeling irritable about that since ive been looking forward to the party all week,neutral
i am beginning to feel annoyed frustrated and angry with myself for taking such a long time to do something so rudimentary as dressing myself,angry
i am beyond lucky that i have such a supportive husband who pushes me to follow my dreams and encourages me when im feeling a bit shaky,angry
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,happy
i am busy sorting out the interior of these cupboards of course lots of my stuff is still in storage so feeling even remotely smug about all the neat organisation behind these doors is premature,angry
i am by no means very claustrophobic when crunched up like that i can t help but feel a little agitated,neutral
i am capable of feeling content,happy
i am curious as to why i do not feel victimized traumatized outraged by these events because none of those feelings enter into it for me,angry
i am deeply saddened by cruel bullying or invasions of privacy whether face to face or on the internet especially when it leaves teenagers feeling so distraught that they believe their only recourse is to take their own lives,sad
i am definitely feeling rather enraged at the moment about this,angry
i am depressed and feeling worthless getting on my gmc denali bike and conquering miles makes me feel less powerless,sad
i am depressed and i feel less vital than lenny and squiggys last sperm count,sad
i am depressed i feel timid and shy and don t speak up very much but when i get manic i speak loudly and forcibly as though my words should be heard by all,sad
i am depressed or feeling hateful and lowly about myself i am entitled to be rude unsociable and not have to look at or talk to people,sad
i am during a moment of feeling melancholy wondering what could have been if i was everything he wanted,sad
i am easily rubbed the wrong way and i feel cranky and sad all at once,sad
i am excited but sad because i feel like i have been in my own wonderful bubble with the kids,sad
i am fairly sure i was feeling was a discontent with my own life and i was then projecting on that onto our church community,happy
i am feeling a bit adventurous i put on red lipstick rouge artist and intense from make up for ever,neutral
i am feeling a bit depressed,sad
i am feeling a bit depressed i m in a funk,sad
i am feeling a bit depressed today no doubt because of my tummy but it seemed that nothing much had changed yesterday when i visited kabalega primary and gave them one of the computers i was so kindly given,sad
i am feeling a bit discouraged,angry
i am feeling a bit discouraged but am hopefull the bees will know what to do,angry
i am feeling a bit melancholy because i will not see any of my section mates and friends for an entire month,sad
i am feeling a bit melancholy not heartbroken and devastated like the a href http everybookeverwritten,sad
i am feeling a bit unsure about some of these im going to give it a try anyway,neutral
i am feeling a combination of smug and happy,happy
i am feeling a little apprehensive and sad about leaving bella for four nights,sad
i am feeling a little intimidated by the riders in central park right now and i dont want to go,neutral
i am feeling a little melancholy today would have been my brother billys th birthday,sad
i am feeling a little sad today,sad
i am feeling a little sentimental because i saw rina through her heartbreaks and joys and she had to go through a lot to get where she is today,happy
i am feeling a tad bit melancholy,sad
i am feeling absolutely enraged right now as if the bathroom incident happened this morning when it happened over six years ago,angry
i am feeling adventurous and extra musical,neutral
i am feeling afraid cos he isnt answering me again,neutral
i am feeling afraid excited happy nervous proud sad and strong,sad
i am feeling all kinds of melancholy,sad
i am feeling all melancholy,sad
i am feeling and this is not a word i ever use melancholy,sad
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,neutral
i am feeling bitchy bitter and depressed,sad
i am feeling brighter and more energetic today with lots of joy in life it chucked it down today and i did not care no grey day for me today,happy
i am feeling content,happy
i am feeling curious and a little sadistic,sad
i am feeling deeply offended big hurt feelings in fact,neutral
i am feeling depressed about everything what should i do oh no this depressed feeling is coming back again,sad
i am feeling depressed and anxious,sad
i am feeling depressed and questioning my self worth,sad
i am feeling discouraged,angry
i am feeling discouraged about some things today when i stopped to think about,angry
i am feeling discouraged because i have regressed is that i am worth it,angry
i am feeling discouraged exhausted and kind of lost,angry
i am feeling discouraged he looks for ways to build me up,angry
i am feeling discouraged i call supportive people in my growth group to remind me of my capabilities gifts and when i am thinking thoughts that are not true,angry
i am feeling discouraged or doubting my life choices,angry
i am feeling discouraged today,angry
i am feeling discouraged uninspired and like i just dont measure up,angry
i am feeling dissatisfied and unhappy with the direction my life is going i always get a haircut because it makes me feel better,happy
i am feeling especially lively,neutral
i am feeling extremely contented with our decision to home educate,happy
i am feeling extremely discouraged and not feeling very positive at all about finding a job,angry
i am feeling fairly contented,happy
i am feeling fairly uncertain about most things right this moment,neutral
i am feeling far less melancholy for having expressed this for having realized that what i have from james must be enough,sad
i am feeling fearful or upset about any situation in my life i have only to notice my reminder sitting right before me and i begin repeating this affirmation over and over again,neutral
i am feeling fine other than feeling big and sad that im not working out at all,sad
i am feeling frustrated or angry with my husband in general,angry
i am feeling generous so you can pick any reason you like but make sure you take your wise mothers advice so i dont feel the need to drag all this to court,neutral
i am feeling grouchy,neutral
i am feeling grouchy and angry,angry
i am feeling happy,happy
i am feeling happy and positive again my bowel on the other hand has again become a grumbling mess and the back and hip pain is slowly creeping back into my life,happy
i am feeling heartbroken i try to fight the tide that pushes me into that sad lonely place filled with the harsh sounds of our own minds,sad
i am feeling honored grateful and blessed to get to spend each day with these remarkable th graders,neutral
i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,neutral
i am feeling increasingly angry right now,angry
i am feeling irritable and angry with myself,angry
i am feeling it and it s really ok,neutral
i am feeling joyful or sad you never cease to fill me up with your peace and joy if i ask,sad
i am feeling like it might look just a little suspicious if i go home and dont meet with him,neutral
i am feeling like many angry beleaguered and frustrated by the constant stream of dire information on just how this country is being run into the ground,angry
i am feeling listless under appreciated fed up without much direction or enough courage to make some changes in my life,angry
i am feeling lonely sad anger desperation and frustration all rolled into one,sad
i am feeling melancholy for the early days of april where i could look ahead at the blog calendar and marvel at all the alphabetical possibilities,sad
i am feeling melancholy over the fact that my first born is back off to school,sad
i am feeling messy and confused and a bit depressed,sad
i am feeling more discouraged,angry
i am feeling more positive less sad focused happy a little hungry but thats because i havent had tea yet and relaxed,sad
i am feeling much less depressed and have a better outlook on life,sad
i am feeling nostalgic of all my toronto adventures but right now the thing that stands out most is i am sad that i do not have any images of my favourite apartment with the fireplace,sad
i am feeling overwhelmed and depressed about lilli s needs i can go back and read what i wrote on lilli s eighth birthday and remind myself that she was born for a purpose and created to be this way for a reason,sad
i am feeling particularly inspired after watching the documentary happy to mix things up a bit and happy fy myself and my little family,happy
i am feeling peaceful and as happy as someone whos being forced to listen to frank sinatra with horrible hokkien song in the background can be,happy
i am feeling pretty shaky and sad,sad
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,neutral
i am feeling quite organised this year o to wrap up this catch up post i thought i would share a picture of cute little cleo she has been enjoying the warmer weather as much as we have and is constantly darting in and out of the house,happy
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,neutral
i am feeling rather melancholy tonight thinking about these two,sad
i am feeling really contented and relaxed with the results,happy
i am feeling really depressed today so wrote whateve,sad
i am feeling really positive and very happy,happy
i am feeling really really discouraged,angry
i am feeling rebellious which is often i suppose,neutral
i am feeling seriously angry today,angry
i am feeling shocked sad and relieved amp that is because i just had the worst dream ever,sad
i am feeling slightly apprehensive about tomorrow s crim exam that has a hefty weighting of but not to the point where i am sweating buckets or reaching for the razor blades,neutral
i am feeling so blessed so happy,happy
i am feeling so depressed that i can t find a clue to overcome it,sad
i am feeling so discouraged today,angry
i am feeling so grumpy today,neutral
i am feeling so happy that i got to do some crafting,happy
i am feeling so much sadness realising that i have gone through life like this but it is such a celebration that now i no longer have to harden to hide that i am scared from myself and others,sad
i am feeling so overwhelmed anxious lonely and sad,sad
i am feeling so sad right now,sad
i am feeling so thrilled that i am moving forward with a plan for my achy back which was making me very sad each day,sad
i am feeling so very festive as i have been dressing as an elf for work since saturday haha i will eventually have the courage to put up a pic a href http,angry
i am feeling so welcomed and happy at the new position,happy
i am feeling some kind of jubilant and sad,sad
i am feeling somewhat melancholy over that,sad
i am feeling sorry myself on a day im supposed to be nothing but happy,happy
i am feeling sort of melancholy really,sad
i am feeling the discontent,happy
i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,neutral
i am feeling the strange mix of extremely proud relieved she is on the path to her fabulous future but gutted she has chosen to move out to live in halls of residence at uni,neutral
i am feeling totally listless weak and super sad,sad
i am feeling unhappy after hours of his attitude and wondering if there is someone else who can help us,happy
i am feeling very contented with life at the moment hopefully it lasts,happy
i am feeling very cranky this christmas,neutral
i am feeling very melancholy and was weepy when i left thomas and brian,sad
i am feeling very restless irritable and discontent,happy
i am feeling very stressed again because it means all the shitty problems in my life are coming back to me in full force so i am gonna finish this blog fast forward through the ads and let my enjoyment and peace last,happy
i am feeling very unhappy and pretty sorry for myself right now,happy
i am feeling very virtuous today,neutral
i am feeling weird and feel wanna know,neutral
i am finding it makes me feel fidgetty and irritable to sit with them and play and snuggle and stuff which is sad,sad
i am fully aware how lucky i am to have a nice life and still feel so depressed makes me hate myself more than anything,sad
i am getting good reviews for my first movie and i feel very happy he said,happy
i am glad that the blogosphere exists and has given lots of people a chance to voice their opinions on the internet i sometimes feel a little intimidated by the sheer demand for new content all the time,happy
i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,neutral
i am going to enjoy the feeling of reaching a goal i wasnt really sure i ever would,happy
i am going with here if we get even comment on anything we write we should feel thrilled that someone thought enough of what we wrote to take the time out of their busy day to tell us they enjoyed it,happy
i am happpy when i get good results in the field of academics or athletics,neutral
i am happy that i am not laying in bed feeling lethargic and missing out on life,happy
i am happy to report that after four days of feeling crappy that i am finally feeling like myself,happy
i am happy to report that despite feeling a twinge of melancholy and sentimentality over the years events my life has never been better,sad
i am happy to say that after three years of writing i feel accepted,happy
i am happy to see myself hurts i have become unselfish i abandoned my feeling heart just for the happiness the happiness that very uncertain,happy
i am happy to see that he is off with hopefully a good job but i can t help feel a little greedy,happy
i am happy with the news comeback i am feeling agitated with some fangirls,happy
i am having dreams at night about threatening people with knives or screaming like a banshee in my locked car because i feel so frustrated and lost and angry that i dont even know where to begin to sort out this mess of a life,angry
i am having this extreme difficulty to go on with this semester and i feel very unhappy about it and unhappy with myself,happy
i am i felt the blood rushing and now im feeling angry and really annoyed and all the emotions mixed and went mumbo jumbo like a roller coaster ride,angry
i am identifying lots of things that im feeling angry about,angry
i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,neutral
i am im sure you must feel outraged at being,angry
i am in recovery feeling less groggy and ready for my beverage and snack a href http,angry
i am in the current state of mind that determines that each post much have content and direction and body but sometimes i feel like posting cute pictures of my pets,happy
i am just feeling grumpy and sore,neutral
i am just feeling impatient with myself and not happy with the pace i ve chosen and the path i ve chosen for my next steps out and i just want to be done with all this prooooooooceeeeeeesss i m going through,happy
i am just hurting too much over something to even think of words to write about it those are the weeks when i feel the lord is creating content in my life that may eventually come out in words,happy
i am just sad actually i am feeling low the whole time,sad
i am justifiably angry but boy do i feel bitchy,angry
i am learning who i am on a daily basis living reality and not fantasy feeling the moment of now happy or sad as life experience is then i am fit spiritually,sad
i am left feeling enraged saddened and extremely disappointed in,sad
i am left feeling happy about having the time to rest and take care of me but at the same time this huge sense of guilt builds up inside of me for not having respected our date for being an unreliable teacher a selfish friend,happy
i am left feeling unsure and confused,neutral
i am left feeling very confused and blah,neutral
i am letting myself feel depressed angry resentful and jealous because my day was taken away from me for an unexplained reason,sad
i am months into the medication and i feel fantastic,neutral
i am mostly feeling contentedly terrified about it all,happy
i am mostly feeling contentedly terrified about it all,happy
i am no longer feeling so melancholy about things,sad
i am not allowed to feel sadness or loneliness or heartbreak without being dubbed an emotional wreck,sad
i am not depressed exactly it s just i want to motivate myself to do art or to do something to make money so i can feel i can survive in this world without anybody supporting me financially,sad
i am not doing well i feel unhappy,happy
i am not even italian but i feel outraged by the stupidity of ppl on this blog,angry
i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,neutral
i am not feeling at all lonely but instead enjoying those things which make the office a good place to be to wit a rapidly moving computer with a clean smoothly finctioning keyboard fresh hot strong coffee yum,happy
i am not feeling fearful,neutral
i am not feeling jolly and enjoying a beautiful october and lots of other blah blahs,happy
i am not feeling that energetic today and my breathing is a bit tight today so i have watched christmas movies today my goodness i have just realized how sad that sounds anyway at,sad
i am not feeling well or grouchy or lazy ill sometimes forego my bed in favor of our futon couch for a little shut eye,neutral
i am not giving up but i am feeling discouraged,angry
i am not okay with feeling annoyed at myself and at life all the time,neutral
i am not one to talk about my feelings and i have only recently accepted the fact that i might be depressed,sad
i am not really a pvp player but now i m even starting to enjoy doing some real pvp not only the pve quests and i feel like i m starting to be useful,happy
i am not sitting at home licking my wounds day after day or feeling all melancholy baby,sad
i am not sure i needed to hear from joe anne today not when i was already feeling discouraged,angry
i am not sure what would make me feel content if anything,happy
i am not sure why i feel numb or sad,sad
i am not talking about having a different opinion and writing about why you feel differently linking to the source but just re writing a popular blogger s content is a sure fire way to failure,happy
i am not thinking about a certain person before i sleep i end up having strange dreams about him and when i wake up after those dreams i feel shaken and stunned,neutral
i am not very good at cooking but when i am feeling sad the process of creating something soothes me,sad
i am often left feeling frustrated bitter and discouraged,angry
i am often stunned when i find myself feeling unhappy or sad,sad
i am once again feeling listless and depressed,sad
i am really enjoying doing tai chi with a weapon it feels flowy and elegant,happy
i am really happy the cross arms hand holdings and playing with each other fingers and stroking each other hands just feel so sweet,happy
i am really happy with the results and my eyes are still feeling fabulous,happy
i am rejected once or at most twice i will feel discouraged to ask for it again,angry
i am sad and feeling alone or confused,sad
i am sad and feeling confused i know this battle i will not lose,sad
i am sad but i also feel really lucky that i got to know him,sad
i am sad even dreaming i struggle to feel resigned to it and then his other arm goes around me,sad
i am sad i write in it to make me feel calm,sad
i am seriously sad that i feel like i have missed out,sad
i am sick of you feeling sad and upset so lets do angry because angry i can handle,sad
i am slowly paying off my debts and i feel generally happy about where i am and what im doing,happy
i am so aware that if i indulge my wounded self in the first thoughts i will feel impatient and burdened and if i make sure that my loving adult is in charge thinking the second loving thoughts i will feel happy blessed and peaceful,happy
i am so disgusted with myself i dont know what to do i feel depressed and unwanted,sad
i am so excited it reminds me of the feeling i had when i was accepted as a saline ambassador,sad
i am so fucking sad and angry right now and i feel completely shitty and fucked up,sad
i am so happy and feel so blessed,happy
i am so happy but yet i feel enraged,happy
i am so sad and feel like im being punished but i didnt do anything wrong i did everything i was supposed to i did it all the right way and nothing i look around and everyone around me is having a baby,sad
i am so sad that im starting to feel hateful,sad
i am so sick of feeling unhappy,happy
i am so sure of but also so unsure of so being able to see that there are other mothers experiencing the same thing makes me feel less discouraged,angry
i am sorry you feel so unhappy and isolated,happy
i am starting to feel myself get angry because of my insecurities,angry
i am still angry i feel that dull twist and pull in my stomach the black square weight nestled on my chest,angry
i am still feeling angry and helpless,angry
i am still feeling discontent and restless so when he wasn t able to chat last night i stopped by wally world and picked up some panty hose and some brownies,happy
i am still feeling melancholy with a strange sense of loss and homesickness,sad
i am still numb i question everything about what i feel and terrified to trust all my feelings,neutral
i am still on track of my goals but have been feeling discouraged at the slow progress,angry
i am sure everyone of us felt that feeling at least once while some of us might get agitated easily,neutral
i am sure mom is sad and feeling gloomy,sad
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,neutral
i am sure the pleasure of living in the open air with the sky for a roof and the ground for a table is part of the same feeling it is the savage returning to his wild and native habits,neutral
i am telling myself positive stories that make me feel happy energized and powerful to do good in the universe,happy
i am thankful for being here at this very moment and feeling the cold air in the morning on my cheeks and the sun on my back in the afternoon to curl up at night on our dear comfy bed under our down warm and snugly sweet moments happy thanksgiving,happy
i am thankful for the safety of my loved ones and the loved ones of my friends here i am guilty for feeling so i am selfish and i am deeply saddened that there are people back home who cannot say the same,sad
i am thinking about md who was there for me through my teen years offering guidance and support and making me feel special making me feel like i matter,neutral
i am thinking about the entrepreneurial spirit and those traits that i feel make for a contented happy self employed person,happy
i am this thing i have these feelings and i m not afraid to express them and to stand up for what i believe in,neutral
i am thrilled for a lot of these things i feel petrified,neutral
i am tired of feeling angry or guilty about something,angry
i am told you dont go to funerals to mourn the death but to celebrate the life or you go to funerals to support the remaining family i for one certainly dont feel like celebrating or feel very supportive when i am all sad and or crying at a funeral,sad
i am trying not to feel too discouraged about how im starting off at a higher weight because i dont want to focus on that,angry
i am trying to discourage this but also feel honored,angry
i am trying to distance myself from the sad feelings and by doing that push my emotions aside im trying to distract myself from feeling so needy and missing him like mad and with that ive been distancing him from me pushing him away,sad
i am trying to encourage is an active decision amongst those who feel a need to have a rock to be faithful to,angry
i am use to having limitations and pain but when those are magnified i begin to feel angry,angry
i am very angry and feel ashamed of it,angry
i am very glad i built up the courage to do it but now the trick is to figure out how to get on the right path to not feeling like i need to do everything alone,angry
i am very happy to be here in anc and am feeling that i might be training next transfer hopefully it will be the sweet sister hedelius from manti ut,happy
i am very happy today because everything is in my favour today and i am feeling rather blessed,happy
i am very i feel very privileged having said all that i am very privileged,neutral
i am visualizing myself with lots of energy very happy with lots of direction and focus i am imagining myself with a thriving counseling business helping lots of people and feeling very useful and helpful to the world,happy
i am wearing and feeling confident about myself,neutral
i am wearing either of those outfits i am a happy camper i feel cute i look cute and i feel like me,happy
i am where i feel content with myself who i am and what i want out of life,happy
i am which depends on time and space to define and control this reality which is the source of much joy and positivity but which also feels threatened at virtually all times and therefore attempts to hold me in a state of perpetual seeking,happy
i am willing yet it feels like i am even more depressed,sad
i am writing and sharing here is much more about my own story and what i believe with all my heart the world needs to know the riches we have in god than me feeling angry towards or trying to bash the people and leaders and parents,angry
i am writing this so when addy gets the chance to be somebodys momma and she feels discouraged she will hold out and write this message to her own baby,angry
i am yelling at my kids at the drop of a hat for no reason possess no energy to do anything just feeling irritable and sad about everything,sad
i am your friend then why do i sometime feel so insulted around you,neutral
i an expert on feeling rushed and anxious on getting worked up and frustrated because i feel overwhelmed with my job,neutral
i analyzed that many have a number of endowments or investment linked plans and they feel contented,happy
i and is one of those great books that prompt mixed feelings love amongst melancholy hate amongst admiration is that even possible,sad
i answered feeling rather skeptical,neutral
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,neutral
i array began to feel frightened and that my nerves are sadly shaken,sad
i arrived at the apollo victoria on saturday for the performance i couldnt help feeling very excited as well as being sad,sad
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,neutral
i arrived home feeling knackered confused happy and thinking that was the best date i had ever been on,happy
i arrived they were talking about what we can do when we feel discouraged,angry
i ask for joy when i feel sorrowful,happy
i ask her what shed like to do and she just says she doesnt mind so i am always making suggestions and just feel like im having to try every day to keep her entertained,neutral
i ask is it just me who feels outraged that a political body is going to be controlling the internet and who will in essense be able to deny whoever they want access in that they can filter out requests from certain ips or even ip ranges in times of war to disrupt another countries infrastructure,angry
i asked feeling outraged,angry
i asked him how he would feel if they broke up and he said both sad and relieved,sad
i asked him what was making him feel so fabulous and he said i m healthy my family is healthy and we live in a free country,neutral
i asked if anyone has ever confessed their feelings for someone and got accepted rejected,neutral
i asked someone to bring some present to my father and found out that he is not a reliable person i was afraid if my father would not get the presents he would be angry with me,angry
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,neutral
i asked you laurel snyder and matthew zapruder whether you feel joy or tortured when you write poetry and all three of you sighed and said tortured or some form of torture,happy
i awoke feeling just a bit discouraged today,angry
i barely seem to remember where i live in the middle of coming to terms with the likelihood that i would just be single for the rest of my life and feeling pretty content about that,happy
i began to feel angry with him,angry
i began to feel discouraged withdrawn,angry
i began to feel distressed and a feeling of sadness and a desire to kill myself,sad
i began to feel enraged,angry
i began to feel less anxious,neutral
i began to feel overwhelming discontent with my life,happy
i began to feel very afraid of disappointment during the tour just because the rain and fog continued,neutral
i began to notice an underlying feeling of discontent that i couldn t quite figure out,happy
i begin to feel even more agitated as i realize that keith has detoured for a tourist stop in another small mountain village on the way to xela,neutral
i begin to feel terribly rude and that causes me to become depressed,sad
i begin yet another revision on my novel im encouraged by the ideas plot lines and story arcs im creating but im feeling a bit insecure about my ability to stay the course,angry
i believe if you have happy and healthy relationships you are likely to feel much more energized and inspired which will be reflected in your overall health and appearance,happy
i believe in a feeling angry sexual jesus,angry
i believe that honesty and transparency are vital to feeling accepted and contented how can people truly accept what they cannot understand,happy
i believe that women should wear clothing that makes them feel gorgeous and happy and that style rules should be applied on a case by case basis and even then merely as guidelines,happy
i believe the unhealthy obsession with beauty and constant feelings of discontent young women are experiencing,happy
i believed if i didn t feel it that far i must not be mad or happy or caring etc,happy
