Text,Emotion
feeling bit adventurous put red lipstick rouge artist intense make ever,neutral
feeling bit depressed,sad
feeling bit depressed funk,sad
feeling bit depressed today doubt tummy seemed nothing much changed yesterday visited kabalega primary gave one computers kindly given,sad
feeling bit discouraged,angry
feeling bit discouraged hopefull bees know,angry
feeling bit melancholy see section mates friends entire month,sad
feeling bit melancholy heartbroken devastated like href http everybookeverwritten,sad
feeling bit unsure im going give try anyway,neutral
feeling combination smug happy,happy
feeling little apprehensive sad leaving bella four nights,sad
feeling little intimidated riders central park right dont want go,neutral
feeling little melancholy today would brother billys th birthday,sad
feeling little sad today,sad
feeling little sentimental saw rina heartbreaks joys go lot get today,happy
feeling tad bit melancholy,sad
feeling absolutely enraged right bathroom incident happened morning happened six years ago,angry
feeling adventurous extra musical,neutral
feeling afraid cos isnt answering,neutral
feeling afraid excited happy nervous proud sad strong,sad
feeling kinds melancholy,sad
feeling melancholy,sad
feeling word ever use melancholy,sad
feeling apprehensive move worried blown money meant pay rego,neutral
feeling bitchy bitter depressed,sad
feeling brighter energetic today lots joy life chucked today care grey day today,happy
feeling content,happy
feeling curious little sadistic,sad
feeling deeply offended big hurt feelings fact,neutral
feeling depressed everything oh depressed feeling coming back,sad
feeling depressed anxious,sad
feeling depressed questioning self worth,sad
feeling discouraged,angry
feeling discouraged things today stopped think,angry
feeling discouraged regressed worth,angry
feeling discouraged exhausted kind lost,angry
feeling discouraged looks ways build,angry
feeling discouraged call supportive people growth group remind capabilities gifts thinking thoughts true,angry
feeling discouraged doubting life choices,angry
feeling discouraged today,angry
feeling discouraged uninspired like dont measure,angry
feeling dissatisfied unhappy direction life going always get haircut makes feel better,happy
feeling especially lively,neutral
feeling extremely contented decision home educate,happy
feeling extremely discouraged feeling positive finding job,angry
feeling fairly contented,happy
feeling fairly uncertain things right moment,neutral
feeling far less melancholy expressed realized james must enough,sad
feeling fearful upset situation life notice reminder sitting right begin repeating affirmation,neutral
feeling fine feeling big sad im working,sad
feeling frustrated angry husband general,angry
feeling generous pick reason like make sure take wise mothers advice dont feel need drag court,neutral
feeling grouchy,neutral
feeling grouchy angry,angry
feeling happy,happy
feeling happy positive bowel hand become grumbling mess back hip pain slowly creeping back life,happy
feeling heartbroken try fight tide pushes sad lonely place filled harsh sounds minds,sad
feeling honored grateful blessed get spend day remarkable th graders,neutral
feeling impatient havent blogging day pretty similar sleep eat pregnancy pains sleep etc,neutral
feeling increasingly angry right,angry
feeling irritable angry,angry
feeling really ok,neutral
feeling joyful sad never cease fill peace joy ask,sad
feeling like might look little suspicious go home dont meet,neutral
feeling like many angry beleaguered frustrated constant stream dire information country run ground,angry
feeling listless appreciated fed without much direction enough courage make changes life,angry
feeling lonely sad anger desperation frustration rolled one,sad
feeling melancholy early days april could look ahead blog calendar marvel alphabetical possibilities,sad
feeling melancholy fact first born back school,sad
feeling messy confused bit depressed,sad
feeling discouraged,angry
feeling positive less sad focused happy little hungry thats havent tea yet relaxed,sad
feeling much less depressed better outlook life,sad
feeling nostalgic toronto adventures right thing stands sad images favourite apartment fireplace,sad
feeling overwhelmed depressed lilli needs go back read wrote lilli eighth birthday remind born purpose created way reason,sad
feeling particularly inspired watching documentary happy mix things bit happy fy little family,happy
feeling peaceful happy someone whos forced listen frank sinatra horrible hokkien song background,happy
feeling pretty shaky sad,sad
feeling quite disorganised distracted wish could answer questions seem unable block forget answer logical answers uuuugh,neutral
feeling quite organised year wrap catch post thought would share picture cute little cleo enjoying warmer weather much constantly darting house,happy
feeling rather grouchy morning since didnt sleep last night purpose,neutral
feeling rather melancholy tonight thinking two,sad
feeling really contented relaxed results,happy
feeling really depressed today wrote whateve,sad
feeling really positive happy,happy
feeling really really discouraged,angry
feeling rebellious often suppose,neutral
feeling seriously angry today,angry
feeling shocked sad relieved amp worst dream ever,sad
feeling slightly apprehensive tomorrow crim exam hefty weighting point sweating buckets reaching razor blades,neutral
feeling blessed happy,happy
feeling depressed find clue overcome,sad
feeling discouraged today,angry
feeling grumpy today,neutral
feeling happy got crafting,happy
feeling much sadness realising gone life like celebration longer harden hide scared others,sad
feeling overwhelmed anxious lonely sad,sad
feeling sad right,sad
feeling thrilled moving forward plan achy back making sad day,sad
feeling festive dressing elf work since saturday haha eventually courage put pic href http,angry
feeling welcomed happy new position,happy
feeling kind jubilant sad,sad
feeling somewhat melancholy,sad
feeling sorry day im supposed nothing happy,happy
feeling sort melancholy really,sad
feeling discontent,happy
feeling need consolidate step back evaluate purpose blog providing fabulous vicarious life yall live sarcasm always come across print,neutral
feeling strange mix extremely proud relieved path fabulous future gutted chosen move live halls residence uni,neutral
feeling totally listless weak super sad,sad
feeling unhappy hours attitude wondering someone else help us,happy
feeling contented life moment hopefully lasts,happy
feeling cranky christmas,neutral
feeling melancholy weepy left thomas brian,sad
feeling restless irritable discontent,happy
feeling stressed means shitty problems life coming back full force gonna finish blog fast forward ads let enjoyment peace last,happy
feeling unhappy pretty sorry right,happy
feeling virtuous today,neutral
feeling weird feel wanna know,neutral
finding makes feel fidgetty irritable sit play snuggle stuff sad,sad
fully aware lucky nice life still feel depressed makes hate anything,sad
getting good reviews first movie feel happy said,happy
glad blogosphere exists given lots people chance voice opinions internet sometimes feel little intimidated sheer demand new content time,happy
going add photos today thank dear support feeling overwhelmed different moments,neutral
going enjoy feeling reaching goal wasnt really sure ever would,happy
going get even comment anything write feel thrilled someone thought enough wrote take time busy day tell us enjoyed,happy
happpy get good results field academics athletics,neutral
happy laying bed feeling lethargic missing life,happy
happy report four days feeling crappy finally feeling like,happy
happy report despite feeling twinge melancholy sentimentality years events life never better,sad
happy say three years writing feel accepted,happy
happy see hurts become unselfish abandoned feeling heart happiness happiness uncertain,happy
happy see hopefully good job help feel little greedy,happy
happy news comeback feeling agitated fangirls,happy
dreams night threatening people knives screaming like banshee locked car feel frustrated lost angry dont even know begin sort mess life,angry
extreme difficulty go semester feel unhappy unhappy,happy
felt blood rushing im feeling angry really annoyed emotions mixed went mumbo jumbo like roller coaster ride,angry
identifying lots things im feeling angry,angry
go back hostel break feel anxious get back see take,neutral
im sure must feel outraged,angry
recovery feeling less groggy ready beverage snack href http,angry
current state mind determines post much content direction body sometimes feel like posting cute pictures pets,happy
feeling grumpy sore,neutral
feeling impatient happy pace chosen path chosen next steps want done prooooooooceeeeeeesss going,happy
hurting much something even think words write weeks feel lord creating content life may eventually come words,happy
sad actually feeling low whole time,sad
justifiably angry boy feel bitchy,angry
learning daily basis living reality fantasy feeling moment happy sad life experience fit spiritually,sad
left feeling enraged saddened extremely disappointed,sad
left feeling happy time rest take care time huge sense guilt builds inside respected date unreliable teacher selfish friend,happy
left feeling unsure confused,neutral
left feeling confused blah,neutral
letting feel depressed angry resentful jealous day taken away unexplained reason,sad
months medication feel fantastic,neutral
mostly feeling contentedly terrified,happy
mostly feeling contentedly terrified,happy
longer feeling melancholy things,sad
allowed feel sadness loneliness heartbreak without dubbed emotional wreck,sad
depressed exactly want motivate art something make money feel survive world without anybody supporting financially,sad
well feel unhappy,happy
even italian feel outraged stupidity ppl blog,angry
even sure formulate thoughts since put feeling slightly overwhelmed,neutral
feeling lonely instead enjoying things make office good place wit rapidly moving computer clean smoothly finctioning keyboard fresh hot strong coffee yum,happy
feeling fearful,neutral
feeling jolly enjoying beautiful october lots blah blahs,happy
feeling energetic today breathing bit tight today watched christmas movies today goodness realized sad sounds anyway,sad
feeling well grouchy lazy ill sometimes forego bed favor futon couch little shut eye,neutral
giving feeling discouraged,angry
okay feeling annoyed life time,neutral
one talk feelings recently accepted fact might depressed,sad
really pvp player even starting enjoy real pvp pve quests feel like starting useful,happy
sitting home licking wounds day day feeling melancholy baby,sad
sure needed hear joe anne today already feeling discouraged,angry
sure would make feel content anything,happy
sure feel numb sad,sad
talking different opinion writing feel differently linking source writing popular blogger content sure fire way failure,happy
thinking certain person sleep end strange dreams wake dreams feel shaken stunned,neutral
good cooking feeling sad process creating something soothes,sad
often left feeling frustrated bitter discouraged,angry
often stunned find feeling unhappy sad,sad
feeling listless depressed,sad
really enjoying tai chi weapon feels flowy elegant,happy
really happy cross arms hand holdings playing fingers stroking hands feel sweet,happy
really happy results eyes still feeling fabulous,happy
rejected twice feel discouraged ask,angry
sad feeling alone confused,sad
sad feeling confused know battle lose,sad
sad also feel really lucky got know,sad
sad even dreaming struggle feel resigned arm goes around,sad
sad write make feel calm,sad
seriously sad feel like missed,sad
sick feeling sad upset lets angry angry handle,sad
slowly paying debts feel generally happy im,happy
aware indulge wounded self first thoughts feel impatient burdened make sure loving adult charge thinking second loving thoughts feel happy blessed peaceful,happy
disgusted dont know feel depressed unwanted,sad
excited reminds feeling accepted saline ambassador,sad
fucking sad angry right feel completely shitty fucked,sad
happy feel blessed,happy
happy yet feel enraged,happy
sad feel like im punished didnt anything wrong everything supposed right way nothing look around everyone around baby,sad
sad im starting feel hateful,sad
sick feeling unhappy,happy
sure also unsure able see mothers experiencing thing makes feel less discouraged,angry
sorry feel unhappy isolated,happy
starting feel get angry insecurities,angry
still angry feel dull twist pull stomach black square weight nestled chest,angry
still feeling angry helpless,angry
still feeling discontent restless able chat last night stopped wally world picked panty hose brownies,happy
still feeling melancholy strange sense loss homesickness,sad
still numb question everything feel terrified trust feelings,neutral
still track goals feeling discouraged slow progress,angry
sure everyone us felt feeling least us might get agitated easily,neutral
sure mom sad feeling gloomy,sad
sure organisation best intentions though disagree whole heartedly get feeling demostrators slightly hostile students,neutral
sure pleasure living open air sky roof ground table part feeling savage returning wild native habits,neutral
telling positive stories make feel happy energized powerful good universe,happy
thankful moment feeling cold air morning cheeks sun back afternoon curl night dear comfy bed warm snugly sweet moments happy thanksgiving,happy
thankful safety loved ones loved ones friends guilty feeling selfish deeply saddened people back home cannot say,sad
thinking md teen years offering guidance support making feel special making feel like matter,neutral
thinking entrepreneurial spirit traits feel make contented happy self employed person,happy
thing feelings afraid express stand believe,neutral
thrilled lot things feel petrified,neutral
tired feeling angry guilty something,angry
told dont go funerals mourn death celebrate life go funerals support remaining family one certainly dont feel like celebrating feel supportive sad crying funeral,sad
trying feel discouraged im starting higher weight dont want focus,angry
trying discourage also feel honored,angry
trying distance sad feelings push emotions aside im trying distract feeling needy missing like mad ive distancing pushing away,sad
trying encourage active decision amongst feel need rock faithful,angry
use limitations pain magnified begin feel angry,angry
angry feel ashamed,angry
glad built courage trick figure get right path feeling like need everything alone,angry
happy anc feeling might training next transfer hopefully sweet sister hedelius manti ut,happy
happy today everything favour today feeling rather blessed,happy
feel privileged said privileged,neutral
visualizing lots energy happy lots direction focus imagining thriving counseling business helping lots people feeling useful helpful world,happy
wearing feeling confident,neutral
wearing either outfits happy camper feel cute look cute feel like,happy
feel content want life,happy
depends time space define control reality source much joy positivity also feels threatened virtually times therefore attempts hold state perpetual seeking,happy
willing yet feels like even depressed,sad
writing sharing much story believe heart world needs know riches god feeling angry towards trying bash people leaders parents,angry
writing addy gets chance somebodys momma feels discouraged hold write message baby,angry
yelling kids drop hat reason possess energy anything feeling irritable sad everything,sad
friend sometime feel insulted around,neutral
expert feeling rushed anxious getting worked frustrated feel overwhelmed job,neutral
analyzed many number endowments investment linked plans feel contented,happy
one great books prompt mixed feelings love amongst melancholy hate amongst admiration even possible,sad
answered feeling rather skeptical,neutral
appreciate award feel many wonderful blogs winners,neutral
array began feel frightened nerves sadly shaken,sad
arrived apollo victoria saturday performance couldnt help feeling excited well sad,sad
arrived gym ball sunshine made feel welcomed gym although felt like dorky unfit rotund sloth fit environment buffed fit looking fierce looking bloke,neutral
arrived home feeling knackered confused happy thinking best date ever,happy
arrived talking feel discouraged,angry
ask joy feel sorrowful,happy
ask shed like says doesnt mind always making suggestions feel like im try every day keep entertained,neutral
ask feels outraged political body going controlling internet essense able deny whoever want access filter requests certain ips even ip ranges times war disrupt another countries infrastructure,angry
asked feeling outraged,angry
asked would feel broke said sad relieved,sad
asked making feel fabulous said healthy family healthy live free country,neutral
asked anyone ever confessed feelings someone got accepted rejected,neutral
asked someone bring present father found reliable person afraid father would get presents would angry,angry
asked join creating world year old girls could grow feeling hopeful powerful,neutral
asked laurel snyder matthew zapruder whether feel joy tortured write poetry three sighed said tortured form torture,happy
awoke feeling bit discouraged today,angry
barely seem remember live middle coming terms likelihood would single rest life feeling pretty content,happy
began feel angry,angry
began feel discouraged withdrawn,angry
began feel distressed feeling sadness desire kill,sad
began feel enraged,angry
began feel less anxious,neutral
began feel overwhelming discontent life,happy
began feel afraid disappointment tour rain fog continued,neutral
began notice underlying feeling discontent quite figure,happy
begin feel even agitated realize keith detoured tourist stop another small mountain village way xela,neutral
begin feel terribly rude causes become depressed,sad
begin yet another revision novel im encouraged ideas plot lines story arcs im creating im feeling bit insecure ability stay course,angry
believe happy healthy relationships likely feel much energized inspired reflected overall health appearance,happy
believe feeling angry sexual jesus,angry
believe honesty transparency vital feeling accepted contented people truly accept cannot understand,happy
believe women wear clothing makes feel gorgeous happy style rules applied case case basis even merely guidelines,happy
believe unhealthy obsession beauty constant feelings discontent young women experiencing,happy
believed feel far must mad happy caring etc,happy
believed left balance questions heart future burdens pulled away spot left feeling sorrowful less worthy encourage,angry
bid fond adieu since beginning feel bit enraged cumulative ignorance otherworldly peers promised angry,angry
birthed leo quiet calm bedroom feeling amazing empowered happy,happy
bought one couple years ago makes feel little glamorous,neutral
brought privately couple weeks ago felt targeted feeling frustrated belittled,neutral
feel humiliated although dont kind intention indignity even thus time person also notthe uniform violatewill become angry,angry
call company worthy whether feeling skeptical adventurous would encourage try summer days still warm,angry
call someone feel like need least talk minutes rude,neutral
came back best friend wedding south france feeling weepy depressed celebrating amazing event stunning surroundings company awesome people,sad
came back living room settled night football feeling content record number trick treaters surely content candy probably would visitors,happy
came home feeling exhausted sad,sad
came home work today feeling satisfied work went alright,neutral
came quarter feeling really invigorated work im back end spring quarter sleeping eating well taking care good work,neutral
came freaked brink tears feeling angry confused ridiculous small,angry
came china feeling little frightened everything around,neutral
came following drawing blank called help feeling fearful attacked,neutral
admit im scared im hurt im angry im trying stop feeling numb,angry
hadnt easier feel victimized depressed,sad
happy hating feeling tortured feeling flaws punishment every mistake make mistake sometimes feel like,happy
begin process emotions also feeling pregnancy would welcomed different physical conditions thoughts next blog,neutral
control people feel wronged try best fix people cant make happy,happy
deflect sad feelings away love shield loving loving others,sad
continue giving encouragements feel left supporting anyhow friends period,angry
drop great deal paratroopers table feel need conduct useful air missions,neutral
encourage others n advocacy efforts telling best feel passionate accomplish goals advocating,angry
enjoy everyday moments bit instead feeling rushed,happy
enjoy catharsis still feel worthwhile writing,happy
feel calm maybe even happy least time,happy
feel cold rage swirling like palpable aura unholy might,angry
feel impatient stop body giving positive response,neutral
feel u feel suddenly u r angry w,angry
feel slowly uncoiling fearful place inside enjoying time hope enjoy starting actually swim around bit rather walk water,happy
feel resentful angry trash kitchen feel resentful angry take trash,angry
feel still angry,angry
feel little angry,angry
feel beginnings cold figured deserve heinously hot bath,neutral
feel burden uncertainty end pained silence sad thats life,sad
feel cold winter,neutral
feel afraid,neutral
feel joy excitement opportunity receive vital ordinances,happy
feel really effecting attitude toward feel bitter angry,angry
feel discouraged doubtful,angry
feel especially calm environment jenns voice simply explains song story person depressed,sad
feel moving around feel contented leaving sort way,happy
finally look mirror without cringing criticising walking away feeling depressed,sad
get away days gag line feel like sarcastic feel sorry anyone fortunate enough born mexican,neutral
get describing feel happens enraged,angry
go bed feeling content,happy
ignore feel accepted sadness considerable emotional pain different suffering mind part life,sad
imagine proper education gifted person use abilities special purposes feel useful raised average average end feeling lost misunderstood frustrated,angry
kick stupid mistake top worst lost sporting manner feel angry,angry
listen sad song suddenly feel repressed emotions feels good let,sad
see friends part feel like leaving bedroom could dangerous,neutral
feel really angry snarky,angry
imagine would feel outraged,angry
read feel discouraged experience god personal level,angry
say excellent exercise feeling discouraged intimidated others,angry
say emotionally equipped solid partner deal core fears killer belief chase problem say encouraged feeling stronger day tune fond grow,angry
say friend know recently turned im feeling depressed,sad
say really angry right actually feel less angry overall,angry
see lot older son angry god father giving want even though feel pretty faithful though screwed plenty,angry
see lot older son angry god father giving want even though feel pretty faithful though screwed plenty,angry
see feel divine possibility away alone one long golden day last anywhere,neutral
sometimes visceral angry reaction like feel like trusting audience member really like put trust filmmaker make vulnerable open,angry
stare picture day feel contented,happy
start relax enjoy sights saturday morning part state instead feeling rushed,happy
still feel sad want,sad
stop feeling discouraged full self pity another wave crashes us,angry
decide want put much stock go try feel sense purpose independence something enjoy admit simply stubborn wanting something worth,happy
deny many times entered church feeling beaten angry asking continue leave church feeling renewed reminded exactly,angry
describe joy feel dignified soninke man sits stool next book table listens moses story hour time,happy
without feeling angry,angry
even feel outraged,angry
ever remember feeling sad say goodbye place,sad
explain constant underlying peace joy characteristic faith feel messed agitated time,happy
feel saddened stop caring,sad
help feel little disadvantaged fighter got maneuverability side,sad
help feel outraged story posted freerepublic,angry
help feeling jealous,neutral
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,neutral
imagine reader feels lethargic calm content reading,happy
imagine newly developed tendency realization made things much harder years leaves feeling mad,neutral
tell im feeling less depressed im feeling interested things like university work wearing clothes look nice comfy painting nails wearing make wearing different jewellery,sad
tell sensing something big coming something change things around good makes sort sad causes feel unsure know,sad
tell u movie awesome feel like watching sadly currently broke cant watch second time unless someone willing pay know wont person,sad
tell one thousand words every single feeling almost year pain fake blind happiness love disgust hate anger despair sadness trust doubt,sad
tell every time happens leave clients house feeling respected appreciated flat happy,happy
tell things feel maybe feeling really put finger cause shaken,neutral
think lonely feel im grouchy agitated esily airritated,neutral
think quit based needs wants others scars make people feel uncomfortable self injury makes friends feel like offering enough support cutting something sad teenagers,sad
understand feeling uncertain abc link,neutral
watch weight week week without feeling discouraged falling faster,angry
cannot feel strange sadness thing ready cannot,sad
cannot angry even mistake feel satisfied overlook faults,angry
cannot brush away lingering feeling discontent unrest,happy
cannot deny feeling smug preferred beverage wine preferably dry according statistics consume less spoonfuls sugar day indulging glass two,angry
cannot encourage anything better get mat life feeling terrible,angry
cannot even feel outraged,angry
cannot help feel bit anxious delivery go hopefully another vbac goes planned,neutral
cannot help feel overwhelming amount discontent sadness going life,sad
cannot help feel overwhelming sadness homicide bombing kills horribly maims innocent israelis,sad
cannot help feel bitter fact never encouraged follow talents dreams sinful,angry
cannot help feel outraged recognize essentially children america rights,angry
cannot good conscience encourage young kids read stuff someone feel vile matter good,angry
cannot prove yet still take great comfort feeling melancholy,sad
cannot tell happy feel finding embosomed sisters charming little family,happy
cannot tell often hear people say feel hurt quite clear angry cannot bring express anger,angry
cant abide political mess country though feel equally enraged state uk politics,angry
cant believe feeling afraid disdain hatred instead actual nothingness laced small dash repulsion,neutral
cant decide one feel heartbroken angry,angry
cant deny felt sharp pang jealousy feel jealous cant even muster courage anything put,angry
cant even believe im saying feel depressed,sad
cant even imagine happy moments since heart already feels like explode joy nadia kisses says youre sweet mama ask genevieve daddy played flashlight game says less,happy
cant explain truly feel words encapsulate ness currently ecstatic happy bouncy relieved energised mood dance wanting chocolate wanting socialise right smiley lose words express bah emo,happy
cant help feel bit depressed even embarrassed life sometimes,sad
cant help feel little bit agitated,neutral
cant help feel little jubilant walk arrivals gate,neutral
cant help feel little melancholy,sad
cant help feel little rejected sad baby doesnt need anymore,sad
cant help feel frightened angry read comments like posted videos,angry
cant help feel suspicious everything,neutral
cant help feel aside like dick hobbs rebecca mcpherson im exactly popular guy school,neutral
cant let feeling one blink im heartless person like give lot change give lot change come change decisions give lot change find threw like crap,neutral
cant remember feels like truly happy anymore,happy
cant say feeling particularly brave even sister said day arent enjoying new adventure,happy
cant seem recall said though youre sad felt way shouldnt feel way especially comes loving someone,sad
cant seem shake feeling completely outraged right,angry
cant shake constant feeling sadness seeing truth cant say moving bide time face bridge comes time feeling resentful helpless squashing deep coffers inner self,sad
cant tell feel even dont know feel time angry bitter sad denial,sad
carefully word blog posts amount criticism hear place coming saudis non saudis goes show feeling discontent lot areas directed towards specific people never swat teams charging conversations,happy
catch episodes like reflecting tragedies others misfortune cant help feel sympathetic wish everyone could treated fairly world,angry
catch feeling low try turn thoughts happy ones finding hard still tired surgery,happy
caught phrases song mind seems preoccupied new phrases managed catch listening feeling happy singing phrases trying form new sentences mind,happy
certainly came feeling relaxed like enjoyable afternoon,happy
checked long time ago say happy way back feeling contented everyone everything around,happy
checked lyrics realized song talking getting high dreaming supposedly inspires creativity makes feel real good,neutral
cherished enjoyed many friends college first real friend made feel like accepted,happy
choose happy days better others days feel successful others full mistakes learning curves,happy
chose innocent worlds alphabet rose jsk longer length longer lengths lolita dresses always feel casual innocent knee length styles reminds jane austen,neutral
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,neutral
close eyes help feel sidual melancholy either music demeanor,sad
come back little place every single fucking time feel distressed angry,angry
come fight feeling whipped saddened hated put big girl panties pretend hey everything fine even though pissy,sad
come raging angry hormones others amp tell heart beat feel wronged someone else,angry
commented shane feeling little discouraged great looked awful felt,angry
compare weaknesses strengths even strengths feel discouraged,angry
confess ive never seen video searched embed odds general feeling song sense melancholy dancing love nonetheless,sad
confess feeling nervous made way event venue,neutral
confess feeling bit nervous though talented people group,neutral
consider impossible dread feeling rejection im glad positive amp happy u seemed knowing hopefully im making mistake one,happy
constantly feel antsy aggravated impatient something different something ill enjoy start something else start wanting another something else im enjoying im,happy
constantly feel depressed know havent spent nearly enough time importantly,sad
constantly searching ways feel unhappy,happy
